Depart;Arrivee;Distance;Tensions;Gabarit;Commentaire;Exploitee
Folligny;Granville;14 km;Non-electrifie;Gabarit continental;;
Mézidon;Lisieux;25 km;Non-electrifie;Gabarit continental;;
Caen;Mézidon;23 km;Non-electrifie;Gabarit continental;;
Lisieux;Serquigny;41 km;Non-electrifie;Gabarit continental;;
Serquigny;Évreux-Normandie;42 km;Non-electrifie;Gabarit continental;;
Mantes-la-Jolie;Évreux-Normandie;50 km;Non-electrifie;Gabarit continental;;
Caen;Lison;56 km;Non-electrifie;Gabarit continental;;
Cherbourg;Lison;75 km;Non-electrifie;Gabarit continental;;
Lison;St-Lô;18 km;Non-electrifie;Gabarit continental;;
St-Lô;Coutances;30 km;Non-electrifie;Gabarit continental;;
Folligny;Coutances;27 km;Non-electrifie;Gabarit continental;;
Folligny;Avranches;19 km;Non-electrifie;Gabarit continental;;
Avranches;Pontorson-Mont-St-Michel;22 km;Non-electrifie;Gabarit continental;;
Pontorson-Mont-St-Michel;Dol-de-Bretagne;21 km;Non-electrifie;Gabarit continental;;
Rennes;Dol-de-Bretagne;58 km;Non-electrifie;Gabarit continental;;
Dol-de-Bretagne;St-Malo;23 km;Non-electrifie;Gabarit continental;;
Le Mans;Argentan;99 km;Non-electrifie;Gabarit continental;;
Le Mans;Mézidon;142 km;Non-electrifie;Gabarit continental;;
Le Mans;Caen;165 km;Non-electrifie;Gabarit continental;;
Caen;Argentan;66 km;Non-electrifie;Gabarit continental;;
Versailles-Chantiers;Dreux;65 km;1.5kVcc & 25kVac;Gabarit continental;;
Paris Montparnasse;Dreux;82 km;1.5kVcc & 25kVac;Gabarit continental;;
Argentan;Dreux;116 km;Non-electrifie;Gabarit continental;;
Paris Montparnasse;Argentan;198 km;Non-electrifie;Gabarit continental;;
Argentan;Granville;130 km;Non-electrifie;Gabarit continental;;
Caen;Lisieux;48 km;Non-electrifie;Gabarit continental;;
Lisieux;Évreux-Normandie;83 km;Non-electrifie;Gabarit continental;;
Caen;Évreux-Normandie;131 km;Non-electrifie;Gabarit continental;;
Mantes-la-Jolie;Caen;181 km;Non-electrifie;Gabarit continental;;
Caen;St-Lô;74 km;Non-electrifie;Gabarit continental;;
Caen;Coutances;104 km;Non-electrifie;Gabarit continental;;
Folligny;St-Lô;57 km;Non-electrifie;Gabarit continental;;
Granville;St-Lô;71 km;Non-electrifie;Gabarit continental;;
Caen;Granville;145 km;Non-electrifie;Gabarit continental;;
Granville;Coutances;41 km;Non-electrifie;Gabarit continental;;
Granville;Avranches;33 km;Non-electrifie;Gabarit continental;;
Caen;Folligny;131 km;Non-electrifie;Gabarit continental;;
Caen;Avranches;150 km;Non-electrifie;Gabarit continental;;
Folligny;Pontorson-Mont-St-Michel;41 km;Non-electrifie;Gabarit continental;;
Folligny;Dol-de-Bretagne;62 km;Non-electrifie;Gabarit continental;;
Rennes;Caen;251 km;Non-electrifie;Gabarit continental;;
Rennes;St-Malo;81 km;Non-electrifie;Gabarit continental;;
Liège-Guillemins;Angleur;3 km;3kVcc;Gabarit continental;;
Angleur;Pepinster;18 km;3kVcc;Gabarit continental;;
Pepinster;Verviers-Central;4 km;3kVcc;Gabarit continental;;
Verviers-Central;Welkenraedt;13 km;3kVcc;Gabarit continental;;
Welkenraedt;Aachen Hbf;16 km;3kVcc;Gabarit continental;;
Liège-Guillemins;Verviers-Central;25 km;3kVcc;Gabarit continental;;
Verviers-Central;Aachen Hbf;29 km;3kVcc;Gabarit continental;;
Liège-Guillemins;Aachen Hbf;54 km;3kVcc;Gabarit continental;;
Aachen Hbf;Stolberg (Rheinl) Hbf;10 km;15kVac;Gabarit continental;;
Stolberg (Rheinl) Hbf;Eschweiler Hbf;3 km;15kVac;Gabarit continental;;
Eschweiler Hbf;Langerwehe;8 km;15kVac;Gabarit continental;;
Langerwehe;Düren;10 km;15kVac;Gabarit continental;;
Düren;Horrem;20 km;15kVac;Gabarit continental;;
Köln Hbf;Horrem;19 km;15kVac;Gabarit continental;;
Aachen Hbf;Horrem;51 km;15kVac;Gabarit continental;;
Köln Hbf;Aachen Hbf;70 km;15kVac;Gabarit continental;;
La Roche sur Foron;St-Gervais-les-Bains;47 km;25kVac;Gabarit continental;;
Annemasse;St-Gervais-les-Bains;64 km;25kVac;Gabarit continental;;
Annemasse;Évian-les-Bains;39 km;25kVac;Gabarit continental;;
St-Gervais-les-Bains;Chamonix-Mont-Blanc;19 km;850Vcc 3eme rail;Ecartement metrique;;
Chamonix-Mont-Blanc;Vallorcine;15 km;850Vcc 3eme rail;Ecartement metrique;;
St-Gervais-les-Bains;Vallorcine;34 km;850Vcc 3eme rail;Ecartement metrique;;
Paris Gare de Lyon;Villeneuve-St-Georges;14 km;1.5kVcc;Gabarit continental;;
Villeneuve-St-Georges;Melun;30 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Melun;44 km;1.5kVcc;Gabarit continental;;
Melun;Montereau;35 km;1.5kVcc;Gabarit continental;;
Montereau;Sens;34 km;1.5kVcc;Gabarit continental;;
Paris Gare de Lyon;Sens;113 km;1.5kVcc;Gabarit continental;;
Laroche-Migennes;Sens;42 km;1.5kVcc;Gabarit continental;;
Laroche-Migennes;Les Laumes-Alésia;102 km;1.5kVcc;Gabarit continental;;
Dijon-Ville;Les Laumes-Alésia;56 km;1.5kVcc;Gabarit continental;;
Dijon-Ville;Beaune;52 km;1.5kVcc;Gabarit continental;;
Beaune;Chagny;15 km;1.5kVcc;Gabarit continental;;
Dijon-Ville;Chagny;67 km;1.5kVcc;Gabarit continental;;
Chagny;Chalon-sur-Saône;16 km;1.5kVcc;Gabarit continental;;
Dijon-Ville;Chalon-sur-Saône;83 km;1.5kVcc;Gabarit continental;;
Chalon-sur-Saône;Mâcon;58 km;1.5kVcc;Gabarit continental;;
Dijon-Ville;Mâcon;161 km;1.5kVcc;Gabarit continental;;
Mâcon;Crèches-sur-Saône;7 km;1.5kVcc;Gabarit continental;;
Crèches-sur-Saône;Villefranche-sur-Saône;30 km;1.5kVcc;Gabarit continental;;
Mâcon;Villefranche-sur-Saône;37 km;1.5kVcc;Gabarit continental;;
Villefranche-sur-Saône;St-Germain au Mont-d\'Or;14 km;1.5kVcc;Gabarit continental;;
St-Germain au Mont-d\'Or;Collonges-Fontaines;9 km;1.5kVcc;Gabarit continental;;
Collonges-Fontaines;Lyon Vaise;7 km;1.5kVcc;Gabarit continental;;
St-Germain au Mont-d\'Or;Lyon Vaise;16 km;1.5kVcc;Gabarit continental;;
Lyon Perrache;Lyon Vaise;5 km;1.5kVcc;Gabarit continental;;
Lyon Perrache;St-Germain au Mont-d\'Or;21 km;1.5kVcc;Gabarit continental;;
Lyon Perrache;Villefranche-sur-Saône;35 km;1.5kVcc;Gabarit continental;;
Lyon Perrache;Mâcon;72 km;1.5kVcc;Gabarit continental;;
Mâcon;St-Germain au Mont-d\'Or;51 km;1.5kVcc;Gabarit continental;;
Lyon Part-Dieu;Collonges-Fontaines;8 km;1.5kVcc;Gabarit continental;;
Lyon Brotteaux;Collonges-Fontaines;8 km;1.5kVcc;Gabarit continental;;
Lyon Part-Dieu;St-Germain au Mont-d\'Or;17 km;1.5kVcc;Gabarit continental;;
Lyon Brotteaux;St-Germain au Mont-d\'Or;17 km;1.5kVcc;Gabarit continental;;
Lyon Part-Dieu;Villefranche-sur-Saône;31 km;1.5kVcc;Gabarit continental;;
Lyon Brotteaux;Villefranche-sur-Saône;31 km;1.5kVcc;Gabarit continental;;
Lyon Part-Dieu;Mâcon;68 km;1.5kVcc;Gabarit continental;;
Lyon Brotteaux;Mâcon;68 km;1.5kVcc;Gabarit continental;;
Mâcon;Pont-de-Veyle;8 km;1.5kVcc;Gabarit continental;;
Pont-de-Veyle;Bourg-en-Bresse;29 km;1.5kVcc;Gabarit continental;;
Mâcon;Bourg-en-Bresse;37 km;1.5kVcc;Gabarit continental;;
Ambérieu;Bourg-en-Bresse;31 km;1.5kVcc;Gabarit continental;;
Ambérieu;Mâcon;68 km;1.5kVcc;Gabarit continental;;
Ambérieu;Chambéry-Challes les Eaux;86 km;1.5kVcc;Gabarit continental;;
Genève-Cornavin;La Plaine;15 km;1.5kVcc;Gabarit continental;;
Bellegarde;La Plaine;18 km;1.5kVcc;Gabarit continental;;
Genève-Cornavin;Bellegarde;33 km;1.5kVcc;Gabarit continental;;
Annemasse;Bellegarde;38 km;1.5kVcc & 25kVac;Gabarit continental;;
Culoz;Bellegarde;33 km;1.5kVcc;Gabarit continental;;
Bourg-en-Bresse;Nurieux;33 km;Non-electrifie;Gabarit continental;;
Nurieux;Brion-Montréal-La Cluse;3 km;Non-electrifie;Gabarit continental;;
Bellegarde;Brion-Montréal-La Cluse;29 km;Non-electrifie;Gabarit continental;;
Bourg-en-Bresse;Bellegarde;65 km;Non-electrifie;Gabarit continental;;
Bellegarde;Nurieux;32 km;Non-electrifie;Gabarit continental;;
Folkestone;Ashford;21 km;750Vcc 3eme rail;Gabarit britannique;;
Stuttgart Hbf;Stuttgart Bad Cannstatt;3 km;15kVac;Gabarit continental;;
Stuttgart Bad Cannstatt;Stuttgart Neckarpark;2 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Stuttgart Neckarpark;5 km;15kVac;Gabarit continental;;
Stuttgart Neckarpark;Esslingen (Neckar);8 km;15kVac;Gabarit continental;;
Stuttgart Bad Cannstatt;Esslingen (Neckar);10 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Esslingen (Neckar);13 km;15kVac;Gabarit continental;;
Esslingen (Neckar);Plochingen;9 km;15kVac;Gabarit continental;;
Stuttgart Bad Cannstatt;Plochingen;19 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Plochingen;22 km;15kVac;Gabarit continental;;
Plochingen;Göppingen;19 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Göppingen;43 km;15kVac;Gabarit continental;;
Göppingen;Süßen;8 km;15kVac;Gabarit continental;;
Süßen;Geislingen (Steige);11 km;15kVac;Gabarit continental;;
Göppingen;Geislingen (Steige);19 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Geislingen (Steige);62 km;15kVac;Gabarit continental;;
Geislingen (Steige);Ulm Hbf;33 km;15kVac;Gabarit continental;;
Göppingen;Ulm Hbf;52 km;15kVac;Gabarit continental;;
Stuttgart Hbf;Ulm Hbf;95 km;15kVac;Gabarit continental;;
Ulm Hbf;Neu-Ulm;2 km;15kVac;Gabarit continental;;
Neu-Ulm;Günzburg;22 km;15kVac;Gabarit continental;;
Ulm Hbf;Günzburg;24 km;15kVac;Gabarit continental;;
Günzburg;Gessertshausen;45 km;15kVac;Gabarit continental;;
Gessertshausen;Augsburg-Oberhausen;15 km;15kVac;Gabarit continental;;
Günzburg;Augsburg-Oberhausen;60 km;15kVac;Gabarit continental;;
Augsburg-Oberhausen;Augsburg Hbf;2 km;15kVac;Gabarit continental;;
Günzburg;Augsburg Hbf;62 km;15kVac;Gabarit continental;;
Ulm Hbf;Augsburg Hbf;86 km;15kVac;Gabarit continental;;
Augsburg Hbf;Augsburg-Hochzoll;5 km;15kVac;Gabarit continental;;
Augsburg-Hochzoll;Mering;11 km;15kVac;Gabarit continental;;
Augsburg Hbf;Mering;16 km;15kVac;Gabarit continental;;
Mering;Mammendorf;15 km;15kVac;Gabarit continental;;
Mammendorf;Olching;12 km;15kVac;Gabarit continental;;
Olching;München-Pasing;12 km;15kVac;Gabarit continental;;
Mammendorf;München-Pasing;24 km;15kVac;Gabarit continental;;
München-Pasing;München Hbf;7 km;15kVac;Gabarit continental;;
Mammendorf;München Hbf;31 km;15kVac;Gabarit continental;;
Augsburg Hbf;München Hbf;62 km;15kVac;Gabarit continental;;
München Hbf;München Ost;10 km;15kVac;Gabarit continental;;
München Ost;Berg am Laim;2 km;15kVac;Gabarit continental;;
Berg am Laim;München Johanneskirchen;5 km;15kVac;Gabarit continental;;
München Johanneskirchen;Ismaning;7 km;15kVac;Gabarit continental;;
München Ost;München Johanneskirchen;7 km;15kVac;Gabarit continental;;
München Ost;Ismaning;14 km;15kVac;Gabarit continental;;
Berg am Laim;München-Trudering;2 km;15kVac;Gabarit continental;;
München-Trudering;Grafing;23 km;15kVac;Gabarit continental;;
München Ost;Grafing;27 km;15kVac;Gabarit continental;;
Grafing;Rosenheim;27 km;15kVac;Gabarit continental;;
München Ost;Rosenheim;54 km;15kVac;Gabarit continental;;
München Hbf;Rosenheim;64 km;15kVac;Gabarit continental;;
Rosenheim;Kufstein;34 km;15kVac;Gabarit continental;;
Kufstein;Wörgl Hbf;13 km;15kVac;Gabarit continental;;
Wörgl Hbf;Jenbach;25 km;15kVac;Gabarit continental;;
Kufstein;Jenbach;25 km;15kVac;Gabarit continental;;
München Hbf;Kufstein;98 km;15kVac;Gabarit continental;;
Jenbach;Innsbruck Hbf;40 km;15kVac;Gabarit continental;;
Wörgl Hbf;Innsbruck Hbf;65 km;15kVac;Gabarit continental;;
Kufstein;Innsbruck Hbf;78 km;15kVac;Gabarit continental;;
München Hbf;Innsbruck Hbf;176 km;15kVac;Gabarit continental;;
Innsbruck Hbf;Innsbruck Westbahnhof;2 km;15kVac;Gabarit continental;;
Innsbruck Westbahnhof;Telfs-Pfaffenhofen;25 km;15kVac;Gabarit continental;;
Innsbruck Hbf;Telfs-Pfaffenhofen;27 km;15kVac;Gabarit continental;;
Telfs-Pfaffenhofen;Ötztal;19 km;15kVac;Gabarit continental;;
Innsbruck Hbf;Ötztal;46 km;15kVac;Gabarit continental;;
Ötztal;Landeck-Zams;26 km;15kVac;Gabarit continental;;
Innsbruck Hbf;Landeck-Zams;72 km;15kVac;Gabarit continental;;
Landeck-Zams;St. Anton am Arlberg;28 km;15kVac;Gabarit continental;;
Innsbruck Hbf;St. Anton am Arlberg;128 km;15kVac;Gabarit continental;;
St. Anton am Arlberg;Langen am Arlberg;11 km;15kVac;Gabarit continental;;
Langen am Arlberg;Bludenz;26 km;15kVac;Gabarit continental;;
St. Anton am Arlberg;Bludenz;37 km;15kVac;Gabarit continental;;
Innsbruck Hbf;Bludenz;165 km;15kVac;Gabarit continental;;
Bludenz;Feldkirch;20 km;15kVac;Gabarit continental;;
St. Anton am Arlberg;Feldkirch;57 km;15kVac;Gabarit continental;;
Innsbruck Hbf;Feldkirch;185 km;15kVac;Gabarit continental;;
Feldkirch;Schaan-Vaduz;16 km;15kVac;Gabarit continental;;
Schaan-Vaduz;Buchs;3 km;15kVac;Gabarit continental;;
Feldkirch;Buchs;19 km;15kVac;Gabarit continental;;
Innsbruck Hbf;Buchs;204 km;15kVac;Gabarit continental;;
Buchs;Sargans;16 km;15kVac;Gabarit continental;;
Sargans;Landquart;13 km;15kVac;Gabarit continental;;
Landquart;Chur;12 km;15kVac;Gabarit continental;;
Sargans;Chur;25 km;15kVac;Gabarit continental;;
Buchs;Chur;41 km;15kVac;Gabarit continental;;
Sargans;Unterterzen;18 km;15kVac;Gabarit continental;;
Unterterzen;Ziegelbrücke;15 km;15kVac;Gabarit continental;;
Sargans;Ziegelbrücke;34 km;15kVac;Gabarit continental;;
Ziegelbrücke;Siebnen-Wangen;14 km;15kVac;Gabarit continental;;
Siebnen-Wangen;Pfäffikon SZ;10 km;15kVac;Gabarit continental;;
Pfäffikon SZ;Wädenswil;9 km;15kVac;Gabarit continental;;
Wädenswil;Thalwil;12 km;15kVac;Gabarit continental;;
Thalwil;Zürich Wiedikon;9 km;15kVac;Gabarit continental;;
Zürich HB;Zürich Wiedikon;2 km;15kVac;Gabarit continental;;
Zürich HB;Thalwil;11 km;15kVac;Gabarit continental;;
Zürich HB;Sargans;90 km;15kVac;Gabarit continental;;
Zürich HB;Chur;115 km;15kVac;Gabarit continental;;
Modane;Bardonecchia;18 km;3kVcc;Gabarit continental;;
Bardonecchia;Bussoleno;41 km;3kVcc;Gabarit continental;;
Bussoleno;Avigliana;21 km;3kVcc;Gabarit continental;;
Bardonecchia;Avigliana;62 km;3kVcc;Gabarit continental;;
Avigliana;Torino Porta Nuova;24 km;3kVcc;Gabarit continental;;
Bardonecchia;Torino Porta Nuova;86 km;3kVcc;Gabarit continental;;
Avigliana;Torino Porta Susa;23 km;3kVcc;Gabarit continental;;
Bardonecchia;Torino Porta Susa;85 km;3kVcc;Gabarit continental;;
Torino Porta Nuova;Torino Porta Susa;5 km;3kVcc;Gabarit continental;;
Torino Porta Susa;Torino Stura;7 km;3kVcc;Gabarit continental;;
Torino Stura;Settimo;5 km;3kVcc;Gabarit continental;;
Settimo;Chivasso;11 km;3kVcc;Gabarit continental;;
Chivasso;Castelrosso;4 km;3kVcc;Gabarit continental;;
Castelrosso;Bianzè;19 km;3kVcc;Gabarit continental;;
Chivasso;Bianzè;23 km;3kVcc;Gabarit continental;;
Torino Stura;Chivasso;16 km;3kVcc;Gabarit continental;;
Torino Porta Susa;Chivasso;23 km;3kVcc;Gabarit continental;;
Bianzè;Santhià;8 km;3kVcc;Gabarit continental;;
Chivasso;Santhià;31 km;3kVcc;Gabarit continental;;
Santhià;Vercelli;19 km;3kVcc;Gabarit continental;;
Torino Stura;Vercelli;66 km;3kVcc;Gabarit continental;;
Torino Porta Susa;Vercelli;73 km;3kVcc;Gabarit continental;;
Torino Porta Nuova;Vercelli;78 km;3kVcc;Gabarit continental;;
Vercelli;Novara;22 km;3kVcc;Gabarit continental;;
Novara;Rho;36 km;3kVcc;Gabarit continental;;
Rho;Milano Certosa;8 km;3kVcc;Gabarit continental;;
Milano Certosa;Milano Porta Garibaldi;5 km;3kVcc;Gabarit continental;;
Rho;Milano Porta Garibaldi;13 km;3kVcc;Gabarit continental;;
Milano Certosa;Milano Centrale;8 km;3kVcc;Gabarit continental;;
Rho;Milano Centrale;16 km;3kVcc;Gabarit continental;;
Milano Porta Garibaldi;Milano Centrale;11 km;3kVcc;Gabarit continental;;
Paris Austerlitz;Choisy-le-Roi;9 km;1.5kVcc;Gabarit continental;;
Juvisy;Choisy-le-Roi;10 km;1.5kVcc;Gabarit continental;;
Juvisy;Paris Orsay;23 km;1.5kVcc;Gabarit continental;;
Paris Orsay;Pont de Rungis / Aéroport d\'Orly;20 km;1.5kVcc;Gabarit continental;;
Juvisy;Brétigny;14 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;Brétigny;33 km;1.5kVcc;Gabarit continental;;
Paris Orsay;Brétigny;37 km;1.5kVcc;Gabarit continental;;
Brétigny;Étampes;25 km;1.5kVcc;Gabarit continental;;
Paris Austerlitz;Étampes;58 km;1.5kVcc;Gabarit continental;;
Étampes;Toury;32 km;1.5kVcc;Gabarit continental;;
Les Aubrais - Orléans;Toury;31 km;1.5kVcc;Gabarit continental;;
Orléans;Toury;33 km;1.5kVcc;Gabarit continental;;
Les Aubrais - Orléans;Étampes;63 km;1.5kVcc;Gabarit continental;;
Orléans;Étampes;65 km;1.5kVcc;Gabarit continental;;
Paris Orsay;Les Aubrais - Orléans;123 km;1.5kVcc;Gabarit continental;;
Paris Orsay;Orléans;125 km;1.5kVcc;Gabarit continental;;
Les Aubrais - Orléans;Salbris;60 km;1.5kVcc;Gabarit continental;;
Orléans;Salbris;60 km;1.5kVcc;Gabarit continental;;
Vierzon-Ville;Salbris;22 km;1.5kVcc;Gabarit continental;;
Vierzon-Ville;Orléans;82 km;1.5kVcc;Gabarit continental;;
Vierzon-Ville;Vierzon-Forges;8 km;1.5kVcc;Gabarit continental;;
Vierzon-Forges;Issoudun;32 km;1.5kVcc;Gabarit continental;;
Vierzon-Ville;Issoudun;32 km;1.5kVcc;Gabarit continental;;
Issoudun;Châteauroux;27 km;1.5kVcc;Gabarit continental;;
Châteauroux;Argenton-sur-Creuse;31 km;1.5kVcc;Gabarit continental;;
Argenton-sur-Creuse;La Souterraine;46 km;1.5kVcc;Gabarit continental;;
La Souterraine;Bersac;20 km;1.5kVcc;Gabarit continental;;
Châteauroux;La Souterraine;77 km;1.5kVcc;Gabarit continental;;
Bersac;St-Sulpice-Laurière;6 km;1.5kVcc;Gabarit continental;;
St-Sulpice-Laurière;Le Palais;25 km;1.5kVcc;Gabarit continental;;
Limoges-Bénédictins;Le Palais;8 km;1.5kVcc;Gabarit continental;;
Limoges-Bénédictins;St-Sulpice-Laurière;33 km;1.5kVcc;Gabarit continental;;
Limoges-Bénédictins;La Souterraine;59 km;1.5kVcc;Gabarit continental;;
Limoges-Bénédictins;Uzerche;59 km;1.5kVcc;Gabarit continental;;
Brive-la-Gaillarde;Uzerche;40 km;1.5kVcc;Gabarit continental;;
Brive-la-Gaillarde;Souillac;37 km;1.5kVcc;Gabarit continental;;
Souillac;Cahors;63 km;1.5kVcc;Gabarit continental;;
Brive-la-Gaillarde;Cahors;100 km;1.5kVcc;Gabarit continental;;
Montauban-Ville-Bourbon;Cahors;63 km;1.5kVcc;Gabarit continental;;
Poitiers;Mignaloux-Nouaillé;11 km;Non-electrifie;Gabarit continental;;
Mignaloux-Nouaillé;Le Dorat;71 km;Non-electrifie;Gabarit continental;;
Poitiers;Le Dorat;82 km;Non-electrifie;Gabarit continental;;
Limoges-Bénédictins;Le Dorat;55 km;Non-electrifie;Gabarit continental;;
Le Dorat;Bellac;13 km;Non-electrifie;Gabarit continental;;
Limoges-Bénédictins;Bellac;43 km;Non-electrifie;Gabarit continental;;
Toulouse-Matabiau;Toulouse-St-Agne;4 km;1.5kVcc;Gabarit continental;;
Toulouse-St-Agne;Portet-St-Simon;8 km;1.5kVcc;Gabarit continental;;
Toulouse-Matabiau;Portet-St-Simon;12 km;1.5kVcc;Gabarit continental;;
Portet-St-Simon;Muret;9 km;1.5kVcc;Gabarit continental;;
Toulouse-Matabiau;Muret;21 km;1.5kVcc;Gabarit continental;;
Muret;Boussens;45 km;1.5kVcc;Gabarit continental;;
Boussens;Montrejeau-Gourdan-Polignan;41 km;1.5kVcc;Gabarit continental;;
Montrejeau-Gourdan-Polignan;Lannemezan;17 km;1.5kVcc;Gabarit continental;;
Toulouse-Matabiau;Montrejeau-Gourdan-Polignan;107 km;1.5kVcc;Gabarit continental;;
Lannemezan;Tarbes;36 km;1.5kVcc;Gabarit continental;;
Toulouse-Matabiau;Lannemezan;124 km;1.5kVcc;Gabarit continental;;
Toulouse-Matabiau;Tarbes;160 km;1.5kVcc;Gabarit continental;;
Montrejeau-Gourdan-Polignan;Tarbes;53 km;1.5kVcc;Gabarit continental;;
Tarbes;Lourdes;21 km;1.5kVcc;Gabarit continental;;
Lourdes;Pau;39 km;1.5kVcc;Gabarit continental;;
Pau;Orthez;40 km;1.5kVcc;Gabarit continental;;
Orthez;Puyoô;14 km;1.5kVcc;Gabarit continental;;
Puyoô;Bayonne;51 km;1.5kVcc;Gabarit continental;;
Orthez;Bayonne;65 km;1.5kVcc;Gabarit continental;;
Pau;Bayonne;105 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Talence-Médoquine;4 km;1.5kVcc;Gabarit continental;;
Pessac;Talence-Médoquine;3 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Pessac;7 km;1.5kVcc;Gabarit continental;;
Pessac;Facture-Biganos;32 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Facture-Biganos;39 km;1.5kVcc;Gabarit continental;;
Arcachon;Facture-Biganos;19 km;1.5kVcc;Gabarit continental;;
Facture-Biganos;Morcenx;69 km;1.5kVcc;Gabarit continental;;
Morcenx;Dax;39 km;1.5kVcc;Gabarit continental;;
Bordeaux St-Jean;Dax;147 km;1.5kVcc;Gabarit continental;;
Puyoô;Dax;30 km;1.5kVcc;Gabarit continental;;
Bayonne;Dax;50 km;1.5kVcc;Gabarit continental;;
Bayonne;Biarritz;10 km;1.5kVcc;Gabarit continental;;
Biarritz;Biarritz-Ville;3 km;1.5kVcc;Gabarit continental;;
Biarritz;St-Jean-de-Luz-Ciboure;13 km;1.5kVcc;Gabarit continental;;
Hendaye;St-Jean-de-Luz-Ciboure;17 km;1.5kVcc;Gabarit continental;;
Hendaye;Bayonne;40 km;1.5kVcc;Gabarit continental;;
London Waterloo;Bank (London);2 km;750Vcc 3eme rail;;;
Grenoble;Jarrie-Vizille;13 km;Non-electrifie;Gabarit continental;;
Jarrie-Vizille;St Georges-de-Commiers;6 km;Non-electrifie;Gabarit continental;;
St Georges-de-Commiers;Clelles-Mens;38 km;Non-electrifie;Gabarit continental;;
Grenoble;Clelles-Mens;57 km;Non-electrifie;Gabarit continental;;
Clelles-Mens;Aspres-sur-Buëch;46 km;Non-electrifie;Gabarit continental;;
Aspres-sur-Buëch;Veynes-Dévoluy;7 km;Non-electrifie;Gabarit continental;;
Grenoble;Veynes-Dévoluy;110 km;Non-electrifie;Gabarit continental;;
Veynes-Dévoluy;Gap;26 km;Non-electrifie;Gabarit continental;;
Grenoble;Gap;136 km;Non-electrifie;Gabarit continental;;
Gap;Briançon;83 km;Non-electrifie;Gabarit continental;;
Grenoble;Briançon;219 km;Non-electrifie;Gabarit continental;;
Veynes-Dévoluy;Briançon;109 km;Non-electrifie;Gabarit continental;;
Harringay;Alexandra Palace;3 km;25kVac;Gabarit britannique;;
Alexandra Palace;New Southgate;2 km;25kVac;Gabarit britannique;;
New Southgate;Hatfield;18 km;25kVac;Gabarit britannique;;
Hatfield;Welwyn Garden City;4 km;25kVac;Gabarit britannique;;
Welwyn Garden City;Stevenage;12 km;25kVac;Gabarit britannique;;
Stevenage;Hitchin;7 km;25kVac;Gabarit britannique;;
Hitchin;Sandy;20 km;Non-electrifie;Gabarit britannique;;
Sandy;Huntingdon;24 km;Non-electrifie;Gabarit britannique;;
Huntingdon;Peterborough;28 km;Non-electrifie;Gabarit britannique;;
Peterborough;Grantham;47 km;Non-electrifie;Gabarit britannique;;
Grantham;Newark North Gate;24 km;Non-electrifie;Gabarit britannique;;
Newark North Gate;Retford;29 km;Non-electrifie;Gabarit britannique;;
Retford;Doncaster;28 km;Non-electrifie;Gabarit britannique;;
Doncaster;York;52 km;Non-electrifie;Gabarit britannique;;
West Hampstead;Alexandra Palace;10 km;25kVac;Gabarit britannique;;
London St Pancras;Alexandra Palace;9 km;25kVac;Gabarit britannique;;
London King\'s Cross;Alexandra Palace;9 km;25kVac;Gabarit britannique;;
Alexandra Palace;Welwyn Garden City;24 km;25kVac;Gabarit britannique;;
London St Pancras;Welwyn Garden City;33 km;25kVac;Gabarit britannique;;
London King\'s Cross;Welwyn Garden City;33 km;25kVac;Gabarit britannique;;
London St Pancras;Stevenage;55 km;25kVac;Gabarit britannique;;
London King\'s Cross;Stevenage;55 km;25kVac;Gabarit britannique;;
London King\'s Cross;Hitchin;62 km;25kVac;Gabarit britannique;;
London St Pancras;Hitchin;62 km;25kVac;Gabarit britannique;;
Hitchin;Huntingdon;44 km;Non-electrifie;Gabarit britannique;;
Sandy;Peterborough;52 km;Non-electrifie;Gabarit britannique;;
Hitchin;Peterborough;72 km;Non-electrifie;Gabarit britannique;;
London King\'s Cross;Sandy;82 km;Non-electrifie;Gabarit britannique;;
London St Pancras;Sandy;82 km;Non-electrifie;Gabarit britannique;;
London St Pancras;Peterborough;134 km;Non-electrifie;Gabarit britannique;;
London King\'s Cross;Peterborough;134 km;Non-electrifie;Gabarit britannique;;
Peterborough;Doncaster;128 km;Non-electrifie;Gabarit britannique;;
London King\'s Cross;Doncaster;262 km;Non-electrifie;Gabarit britannique;;
London St Pancras;Doncaster;262 km;Non-electrifie;Gabarit britannique;;
Peterborough;York;180 km;Non-electrifie;Gabarit britannique;;
London King\'s Cross;York;314 km;Non-electrifie;Gabarit britannique;;
London St Pancras;York;314 km;Non-electrifie;Gabarit britannique;;
Bruxelles-Nord;Schaerbeek;2 km;3kVcc;Gabarit continental;;
Schaerbeek;Zaventem;7 km;3kVcc;Gabarit continental;;
Zaventem;Bruxelles-Aéroport-Zaventem;3 km;3kVcc;Gabarit continental;;
